idx	X	Y
437	3511.150778441858	3413.658407738375
438	3511.149808375437	3413.65879945874
439	3518.243521811409	3411.010595041002
440	3518.23576866018	3411.01242523028
441	3519.178089483074	3410.549617201507
442	3519.178089484022	3410.54961720119
443	3533.244240693451	3405.728847334582
444	3533.24573356083	3405.728258077469
445	3534.131365338838	3405.134879502497
446	3534.131053231255	3405.135004951172
447	3550.936550972615	3398.860595623444
448	3550.937017415544	3398.860422168322
449	3557.757473955579	3396.049923120066
450	3557.757229416945	3396.0499086854
451	3558.689386638483	3395.592102908327
452	3558.691145348553	3395.591463513579
453	3559.630572280644	3395.155077770067
454	3559.630594409381	3395.155075445939
455	3565.64740922834	3392.943901076913
456	3565.656206354776	3392.942498380926
457	3566.428708008162	3392.255061116441
458	3566.429001365787	3392.25532651236
459	3576.079997345597	3388.083525176412
460	3576.088835955427	3388.081120023972
461	3576.944176557522	3387.473298569282
462	3576.939973651905	3387.473858928495
463	3579.691742126312	3385.976190373091
464	3579.691335982471	3385.976365170437
465	3580.638334729613	3385.540025016983
466	3580.635318608721	3385.540845124195
467	3581.521599278966	3385.01249388611
468	3581.535101258137	3385.011805635955
469	3582.290403268516	3384.338610426475
470	3582.291086757764	3384.338463823289
471	3595.427363117592	3379.652789525163
472	3595.436795515819	3379.649953752562
473	3596.64732276419	3379.466115271131
474	3596.63303052741	3379.474930822783
475	3598.951747012959	3378.182878542838
476	3598.943328911234	3378.186872701937
477	3610.10823345018	3375.308226873109
478	3610.109249341948	3375.307943851488
479	3616.27364009533	3373.999573967414
480	3616.278300777153	3374.001229340513
481	3617.293289023074	3373.777842198858
482	3617.293257642411	3373.777839273078
483	3619.300332566602	3373.915463627226
484	3619.284184111467	3373.921183605356
485	3637.201223686211	3367.701613037035
486	3637.205690319332	3367.701782010012
487	3638.022895194415	3367.095465081703
488	3638.017820186075	3367.096896845645
489	3641.956632440356	3365.692280837371
490	3641.959090062085	3365.691458944902
491	3646.580138546899	3363.149885966467
492	3646.579135656783	3363.150172680908
493	3647.638147009499	3362.927848887202
494	3647.644875673192	3362.926937301807
495	3648.702986545542	3362.678123072316
496	3648.705139978566	3362.675303946342
497	3663.133789132457	3358.619605569849
498	3663.133789133401	3358.619605569516
499	3670.297705330887	3356.696275571363
500	3670.294880210266	3356.697457495092
501	3678.590924532734	3354.392296682565
502	3678.588995081746	3354.393213628773
503	3679.60659222527	3354.092705608904
504	3679.606174149302	3354.092873350241
505	3685.803226736624	3352.593917654048
506	3685.802487678357	3352.594204970736
507	3686.854542643	3352.512738963145
508	3686.849944287865	3352.513442614088
509	3689.913050619552	3351.684615476643
510	3689.916798143197	3351.682941625245
511	3694.114554760413	3350.581295458746
512	3694.113933472529	3350.581484901069
513	3696.119659889077	3349.740006261722
514	3696.114476947455	3349.740887048475
515	3698.052831077933	3349.070253367302
516	3698.053030709008	3349.070158124257
517	3714.382038923311	3344.143447284487
518	3714.391812917514	3344.141456445592
519	3715.357173962789	3343.696440957665
520	3715.358092185174	3343.696179362397
521	3718.365632037437	3342.768929774071
522	3718.369749150245	3342.767623561783
523	3719.380236149867	3342.336605436551
524	3719.381145762222	3342.33618603645
525	3724.460344489583	3340.578564860519
526	3724.461006241762	3340.578275190517
527	3725.474785536012	3340.284052217726
528	3725.471511973122	3340.284878555764
529	3739.510496672469	3335.376939763079
530	3739.510571688138	3335.376945274593
531	3740.483479852496	3334.899637518673
532	3740.483097563955	3334.899814116489
533	3748.517079714317	3332.061636917864
534	3748.527327083973	3332.059836379895
535	3750.826043292655	3331.747709776811
536	3750.838309188965	3331.748530905131
537	3751.748846960864	3331.235825965302
538	3751.752475321357	3331.233888933532
539	3755.704109166159	3327.89984315518
540	3755.704302028883	3327.899758522969
541	3760.211788251009	3325.267703098993
542	3760.211722795118	3325.267532380996
543	3761.125961756225	3324.762549673732
544	3761.132695432279	3324.761504107124
545	3774.507958632946	3318.717586360563
546	3774.515068729438	3318.715988839866
547	3777.202583937621	3317.133898972785
548	3777.200489640451	3317.134355029894
549	3777.980666059374	3316.416344232133
550	3777.980179792165	3316.416696975436
551	3788.541802490844	3311.488033079377
552	3788.542579461297	3311.487874889228
553	3796.794289490793	3306.85211143164
554	3796.798319488936	3306.851442435497
555	3805.652347283306	3303.124223907656
556	3805.651082211491	3303.124930793993
557	3815.761388239972	3297.627849058988
558	3815.760578067723	3297.627596578189
559	3829.407281001858	3291.383388768585
560	3829.420448005804	3291.379329163327
561	3830.30202421762	3290.864144058678
562	3830.293964588004	3290.86374426969
